,idx,ans,weighted
0,0,$\it{Other}$,0.0029585832459941156
1,0,1.0,0.9374485245130688
2,0,2.0,0.059592892240937105
3,1,$\it{Other}$,0.031321899991874694
4,1,1.0,0.9333333333333333
5,1,2.0,0.03534476667479198
6,2,$\it{Other}$,0.0
7,2,1.0,0.9363427841288876
8,2,2.0,0.0636572158711123
9,3,$\it{Other}$,0.0
10,3,1.0,0.9694393142081714
11,3,2.0,0.030560685791828728
12,4,$\it{Other}$,0.0
13,4,1.0,0.9
14,4,2.0,0.1
15,5,$\it{Other}$,0.0
16,5,1.0,0.9658119132330906
17,5,2.0,0.034188086766909334
18,6,$\it{Other}$,0.0
19,6,1.0,0.9033520851211259
20,6,2.0,0.09664791487887402
21,7,$\it{Other}$,0.0
22,7,1.0,0.9673303860183695
23,7,2.0,0.03266961398163059
24,8,$\it{Other}$,0.0
25,8,1.0,0.9501555232410583
26,8,2.0,0.04984447675894162
27,9,$\it{Other}$,0.009896064951506054
28,9,1.0,0.9124330127351583
29,9,2.0,0.07767092231333572
30,10,$\it{Other}$,0.0
31,10,1.0,0.9687639394663586
32,10,2.0,0.0312360605336414
33,11,$\it{Other}$,0.0
34,11,1.0,0.9461239020974492
35,11,2.0,0.05387609790255078
36,12,$\it{Other}$,0.02355858777739155
37,12,1.0,0.9040090966655079
38,12,2.0,0.07243231555710046
39,13,$\it{Other}$,0.0
40,13,1.0,0.8666666666666667
41,13,2.0,0.13333333333333333
42,14,$\it{Other}$,0.0
43,14,1.0,0.8486685364043085
44,14,2.0,0.15133146359569155
45,15,$\it{Other}$,0.0
46,15,1.0,1.0
47,15,2.0,0.0
48,16,$\it{Other}$,0.0
49,16,1.0,0.9333333333333333
50,16,2.0,0.06666666666666667
51,17,$\it{Other}$,0.0
52,17,1.0,0.9281041732487283
53,17,2.0,0.07189582675127182
54,18,$\it{Other}$,0.008546669859683281
55,18,1.0,0.9192941898287945
56,18,2.0,0.07215914031152228
57,19,$\it{Other}$,0.0
58,19,1.0,0.9666666666666667
59,19,2.0,0.03333333333333333
60,20,$\it{Other}$,0.0
61,20,1.0,0.9147789193669321
62,20,2.0,0.08522108063306795
63,21,$\it{Other}$,0.0
