,idx,tok,tok_p,ans,ans_raw,ans_lp,ans_lps,ext_len,ext_lp_raw,ext_lp
0,0," 

",0.33714344040650385,Informe Robinson is a sports documentary TV show hosted by Michael Robinson,"Informe Robinson is a sports documentary TV show hosted by Michael Robinson. 
",,[None],273,-146.28598638833287,-0.5358461039865673
1,0," 

",0.33714344040650385,Informe Robinson is a sports documentary show hosted by Michael Robinson,"Informe Robinson is a sports documentary show hosted by Michael Robinson. 
",,[None],199,-94.63482974025194,-0.47555190824247207
2,0," 

",0.33714344040650385,A sports-related show or segment hosted by Michael Robinson,"A sports-related show or segment hosted by Michael Robinson. 
",,[None],177,-99.45434292355596,-0.5618889430709376
3,0," 

",0.33714344040650385,Informe Robinson,"Informe Robinson 
",,[None],152,-83.92656775613099,-0.5521484720798091
4,0," 

",0.33714344040650385,Informe Robinson,"Informe Robinson 
",,[None],123,-59.146558607798035,-0.48086633014469954
5,0," 

",0.33714344040650385,Informe Robinson is a Spanish sports documentary hosted by Michael Robinson,"Informe Robinson is a Spanish sports documentary hosted by Michael Robinson. 
",,[None],237,-155.25708590519605,-0.655093189473401
6,0," 

",0.33714344040650385,Informe Robinson is a sports documentary television program hosted by Michael Robinson,"Informe Robinson is a sports documentary television program hosted by Michael Robinson. 
",,[None],275,-150.3366775306625,-0.5466788273842274
7,0," 

",0.33714344040650385,Informe Robinson,"Informe Robinson 
",,[None],246,-118.0189491359615,-0.4797518257559411
8,0," 

",0.33714344040650385,Informe Robinson is a sports talk show,"Informe Robinson is a sports talk show. 
",,[None],117,-49.51136928364501,-0.4231740964414104
9,0," 

",0.33714344040650385,Informe Robinson,"Informe Robinson 
",,[None],195,-118.977215008097,-0.6101395641440872
10,0," 

",0.33714344040650385,Informe Robinson is a Spanish sports documentary television program hosted by Michael Robinson,"Informe Robinson is a Spanish sports documentary television program hosted by Michael Robinson. 
",,[None],286,-136.24304943330776,-0.4763742987178593
11,0," 

",0.33714344040650385,Informe Robinson,"Informe Robinson 
",,[None],301,-101.27585463837646,-0.3364646333500879
